,nome,prioridade,prazo,status,descricao,data_criacao,horario_inicio,tempo_total,peso_prioridade,peso_status,peso_urgencia
29,Enviar proposta de projeto,Alta,2025-05-01 00:00:00,Concluída,,2025-04-28 09:00:00,2025-04-28 09:10:00,0 days 01:00:00,3.0,1.0,4.0
30,Limpar escritório,Média,2025-05-02 00:00:00,Concluída,,2025-04-29 17:00:00,2025-04-29 17:10:00,0 days 01:15:00,2.0,1.0,3.0
31,Revisar apresentação,Baixa,2025-05-03 00:00:00,Concluída,,2025-04-30 07:30:00,2025-04-30 07:40:00,0 days 00:40:00,1.0,1.0,2.0
32,Postar no blog,Média,2025-05-02 00:00:00,Concluída,,2025-04-28 18:00:00,2025-04-28 18:15:00,0 days 01:10:00,2.0,1.0,3.0
33,Verificar finanças,Alta,2025-05-01 00:00:00,Concluída,,2025-04-29 13:00:00,2025-04-29 13:05:00,0 days 00:55:00,3.0,1.0,4.0
34,Responder mensagens,Média,2025-05-03 00:00:00,Concluída,,2025-04-30 08:00:00,2025-04-30 08:10:00,0 days 00:30:00,2.0,1.0,3.0
35,Fazer chamada de vídeo,Baixa,2025-05-04 00:00:00,Concluída,,2025-04-29 14:00:00,2025-04-29 14:10:00,0 days 01:00:00,1.0,1.0,2.0
36,Salvar o mundo,Alta,2025-05-01 00:00:00,Não iniciada,,2025-05-02 19:21:56,,,3.0,3.0,6.0
37,Estudar a biblioteca smtplib,Média,2025-05-10 00:00:00,Concluída,,2025-05-04 03:40:18,2025-05-04 03:42:28.220561,0 days 23:27:51.939158,2.0,1.0,3.0
38,Estudar a biblioteca imbox,Média,2025-05-10 00:00:00,Concluída,,2025-05-04 03:40:49,2025-05-05 03:10:09.253405,0 days 00:00:17.891680,2.0,1.0,3.0
39,Customizar envio de email,Média,2025-05-10 00:00:00,Em andamento,,2025-05-05 03:09:53,2025-05-05 03:10:37.783734,,2.0,2.0,4.0
40,Lavar carro,Baixa,2025-05-20 00:00:00,Não iniciada,"Limpeza externa e interna do veículo, removendo sujeira e poeira para manter a higiene e conservação.",2025-05-15 00:08:18,,,1.0,3.0,4.0
